Lokasi,Titik Koordinat,Kondisi,Jenis PJU,Jenis Tiang,Jenis Lampu,Latitude,Longitude,Kondisi_Biner,geometry,index_right,Kecamatan_Final
Cipanangon Linggalaksana Cikatomas,-7.634664 108.237396,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.634664,108.237396,0,POINT (108.237396 -7.634664),4.0,Cikatomas
Jl Cikatomas lengkong barang Lengkong Cikatomas,-7.6026808 108.2697748,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.6026808,108.2697748,0,POINT (108.2697748 -7.6026808),4.0,Cikatomas
Pasirkalong Linggalaksana Cikatomas,-7.639731 108.241427,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.639731,108.241427,0,POINT (108.241427 -7.639731),4.0,Cikatomas
Citamiang Linggalaksana Cikatomas,-7.636210 108.237732,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.63621,108.237732,0,POINT (108.237732 -7.63621),4.0,Cikatomas
Citamiang Linggalaksana Cikatomas,-7.636398 108.237910,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.636398,108.23791,0,POINT (108.23791 -7.636398),4.0,Cikatomas
Cipanangon Linggalaksana Cikatomas,-7.636247 108.235276,Baik,PJU Konvensional,Tiang Tunggal,LED,-7.636247,108.235276,0,POINT (108.235276 -7.636247),4.0,Cikatomas
Jl Cikatomas pakemitan Pakemitan Cikatomas,-7.6110159 108.2492325,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.6110159,108.2492325,0,POINT (108.2492325 -7.6110159),4.0,Cikatomas
Jl Cikatomas pangemitan Pakemitan Cikatomas,-7.6110242 108.2508180,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.6110242,108.250818,0,POINT (108.250818 -7.6110242),4.0,Cikatomas
Sukarame Sukawangun Cikatomas,-7.630467 108.225474,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.630467,108.225474,0,POINT (108.225474 -7.630467),1.0,Karangnunggal
Sukarame Sukawangun Cikatomas,-7.629540 108.227265,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.62954,108.227265,0,POINT (108.227265 -7.62954),1.0,Karangnunggal
Sukarame Sukawangun Cikatomas,-7.630343 108.231154,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.630343,108.231154,0,POINT (108.231154 -7.630343),1.0,Karangnunggal
Mandalawangi Linggalaksana Cikatomas,-7.652475 108.245257,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.652475,108.245257,0,POINT (108.245257 -7.652475),4.0,Cikatomas
Bihbul condong Linggalaksana Cikatomas,-7.655971 108.240908,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.655971,108.240908,0,POINT (108.240908 -7.655971),4.0,Cikatomas
Cilumba Cilumba Cikatomas,-7.660613 108.230735,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.660613,108.230735,0,POINT (108.230735 -7.660613),4.0,Cikatomas
Jl.raya cikalong Cilumba Cikatomas,-7.660849 108.230661,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.660849,108.230661,0,POINT (108.230661 -7.660849),4.0,Cikatomas
Pst.khoerul huda Cilumba Cikatomas,-7.661051 108.228412,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.661051,108.228412,0,POINT (108.228412 -7.661051),4.0,Cikatomas
Kantor desa Gunungsari Cikatomas,-7.672024 108.217762,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.672024,108.217762,0,POINT (108.217762 -7.672024),4.0,Cikatomas
Gn.goong Gn.sari Cikatomas,-7.671741 108.217374,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.671741,108.217374,0,POINT (108.217374 -7.671741),4.0,Cikatomas
Cipari Gunung sari Cikatomas,-7.682774 108.234053,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.682774,108.234053,0,POINT (108.234053 -7.682774),4.0,Cikatomas
gunung sari Gunung sari Cikatomas,-7.680421 108.198527,Baik,PJU Konvensional,Tiang Tunggal,LED,-7.680421,108.198527,0,POINT (108.198527 -7.680421),4.0,Cikatomas
Mekar Rahayu Gunungsari Cikatomas,-7.678664 108.198653,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.678664,108.198653,0,POINT (108.198653 -7.678664),4.0,Cikatomas
Mekar Rahayu Gunung sari Cikatomas,-7.671193 108.199012,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.671193,108.199012,0,POINT (108.199012 -7.671193),4.0,Cikatomas
Mekar Rahayu Gunung sari Cikatomas,-7.671505 108.198886,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.671505,108.198886,0,POINT (108.198886 -7.671505),4.0,Cikatomas
Mekar Rahayu Gunung sari Cikatomas,-7.677273 108.198158,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.677273,108.198158,0,POINT (108.198158 -7.677273),4.0,Cikatomas
Jl cirateun Gunung sari Cikatomas,-7.6991975 108.2289338,Baik,PJU Konvensional,Tiang Tunggal,LED,-7.6991975,108.2289338,0,POINT (108.2289338 -7.6991975),4.0,Cikatomas
Jl cirateun Gunung sari Cikatomas,-7.6946761 108.2213368,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.6946761,108.2213368,0,POINT (108.2213368 -7.6946761),4.0,Cikatomas
Pakemitan 2 cikatomas Pakemitan Cikatomas,-7.6242062 108.2612518,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.6242062,108.2612518,0,POINT (108.2612518 -7.6242062),4.0,Cikatomas
Jln raya cikatomas pakemitan Pakemitan Cikatomas,-7.6133843 108.2607294,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.6133843,108.2607294,0,POINT (108.2607294 -7.6133843),4.0,Cikatomas
Kp citamiang Lingga jaya Cikatomas,-7.6371868 108.2386508,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.6371868,108.2386508,0,POINT (108.2386508 -7.6371868),4.0,Cikatomas
Citamiang Linggajaya Cikatomas,-7.6371482 108.2384979,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.6371482,108.2384979,0,POINT (108.2384979 -7.6371482),4.0,Cikatomas
Citamiang Lingga jaya Cikatomas,-7.6359609 108.2399319,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.6359609,108.2399319,0,POINT (108.2399319 -7.6359609),4.0,Cikatomas
Citamiang Lingga jaya Cikatomas,-7.6358453 108.2377328,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.6358453,108.2377328,0,POINT (108.2377328 -7.6358453),4.0,Cikatomas
Cipancur Linggalaksana Cikatomas,-7.6485972 108.2273886,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.6485972,108.2273886,0,POINT (108.2273886 -7.6485972),4.0,Cikatomas
Nusawangi Citamiang Lingga laksana Cikatomas,-7.6305 108.248168,Baik,PJU Konvensional,Tiang Tunggal,Mercury,-7.6305,108.248168,0,POINT (108.248168 -7.6305),4.0,Cikatomas
Lengkong barang Lengkongbarang Cikatomas,-7.571234 108.281117,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.571234,108.281117,0,POINT (108.281117 -7.571234),4.0,Cikatomas
Lengkongbarang Lengkongbarang Cikatomas,-7.570676 108.281387,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.570676,108.281387,0,POINT (108.281387 -7.570676),4.0,Cikatomas
