Titik Koordinat,Kondisi,Jenis PJU,Jenis Tiang,Jenis Lampu,Kecamatan,Kondisi_Biner,Latitude,Longitude,index_right,Kecamatan_Final
-7.2268263 108.1886608,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.2268263,108.1886608,33.0,Rajapolah
-7.2266094 108.1881311,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.2266094,108.1881311,33.0,Rajapolah
-7.2264993 108.1878907,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.2264993,108.1878907,33.0,Rajapolah
-7.2263447 108.1873901,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.2263447,108.1873901,33.0,Rajapolah
-7.2262389 108.1870984,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.2262389,108.1870984,33.0,Rajapolah
-7.2255996 108.1864939,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.2255996,108.1864939,33.0,Rajapolah
-7.2226606 108.1901846,Baik,PJU Konvensional,Tiang Tunggal,LED,Rajapolah,0,-7.2226606,108.1901846,33.0,Rajapolah
-7.2047991 108.1874941,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2047991,108.1874941,33.0,Rajapolah
-7.2072167 108.1872185,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2072167,108.1872185,33.0,Rajapolah
-7.2080223 108.1872885,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2080223,108.1872885,33.0,Rajapolah
-7.2080223 108.1872885,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2080223,108.1872885,33.0,Rajapolah
-7.2046155 108.1865224,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2046155,108.1865224,33.0,Rajapolah
-7.2044346 108.1857768,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2044346,108.1857768,33.0,Rajapolah
-7.2051600 108.1796070,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.20516,108.179607,33.0,Rajapolah
-7.2048933 108.1780379,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2048933,108.1780379,33.0,Rajapolah
-7.2041242 108.1767686,Rusak Berat,PJU Konvensional,Tiang Stang,SON T,Rajapolah,1,-7.2041242,108.1767686,33.0,Rajapolah
-7.2029620 108.1926580,Rusak Berat,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,1,-7.202962,108.192658,33.0,Rajapolah
-7.1974127 108.1959390,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.1974127,108.195939,33.0,Rajapolah
-7.1933825 108.1942502,Baik,PJU Konvensional,Tiang Tunggal,LED,Rajapolah,0,-7.1933825,108.1942502,33.0,Rajapolah
-7.1919003 108.1848675,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.1919003,108.1848675,33.0,Rajapolah
-7.2290701 108.1860292,Rusak Berat,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,1,-7.2290701,108.1860292,33.0,Rajapolah
-7.2286976 108.1852866,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2286976,108.1852866,33.0,Rajapolah
-7.2276292 108.1830956,Baik,PJU Konvensional,Tiang Tunggal,LED,Rajapolah,0,-7.2276292,108.1830956,33.0,Rajapolah
-7.2394401 108.1920699,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2394401,108.1920699,33.0,Rajapolah
-7.2347238 108.1838972,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2347238,108.1838972,33.0,Rajapolah
-7.2170570 108.1936025,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.217057,108.1936025,33.0,Rajapolah
-7.2116449 108.1843830,Baik,PJU Solar Cell,Tiang Tunggal,LED,Rajapolah,0,-7.2116449,108.184383,33.0,Rajapolah
-7.2121216 108.1848162,Baik,PJU Solar Cell,Tiang Tunggal,LED,Rajapolah,0,-7.2121216,108.1848162,33.0,Rajapolah
-7.2139583 108.1940873,Baik,PJU Solar Cell,Tiang Tunggal,LED,Rajapolah,0,-7.2139583,108.1940873,33.0,Rajapolah
-7.2118595 108.1916025,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2118595,108.1916025,33.0,Rajapolah
-7.2459298 108.1904130,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2459298,108.190413,31.0,Cisayong
-7.2114633 108.1580803,Baik,PJU Solar Cell,Tiang Tunggal,LED,Rajapolah,0,-7.2114633,108.1580803,32.0,Sukahening
-7.2063781 108.1696771,Baik,PJU Solar Cell,Tiang Tunggal,LED,Rajapolah,0,-7.2063781,108.1696771,33.0,Rajapolah
-7.2060498 108.1674006,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2060498,108.1674006,33.0,Rajapolah
-7.2060711 108.1664471,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.2060711,108.1664471,33.0,Rajapolah
-7.2062690 108.1657816,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.206269,108.1657816,33.0,Rajapolah
-7.2060515 108.1648451,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2060515,108.1648451,34.0,Jamanis
-7.2078916 108.1640264,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2078916,108.1640264,34.0,Jamanis
